Word,RelativeFreq,SocialistFreq,CorpusFreq
julkisella,0.175922,0.008895,0.050564
tään,0.180788,0.012102,0.066940
varatuomari,0.209476,0.014089,0.067257
höyrylaiva,0.209996,0.008372,0.039869
massa,0.214104,0.007466,0.034872
taan,0.218100,0.041648,0.190959
pankki,0.267908,0.010766,0.040185
huutokauppa,0.283373,0.009058,0.031965
kuolleita,0.289183,0.007548,0.026099
kaupp,0.301790,0.016134,0.053460
turku,0.308558,0.019701,0.063847
malla,0.309617,0.007513,0.024264
lukusali,0.323748,0.008419,0.026005
pesän,0.326641,0.008860,0.027126
opett,0.328175,0.008012,0.024415
carl,0.329095,0.008489,0.025794
kirjapainossa,0.329279,0.010998,0.033401
tampere,0.337872,0.019247,0.056967
heinolan,0.338508,0.011033,0.032593
toimeenpanee,0.340504,0.012671,0.037213
kurssit,0.344457,0.007989,0.023193
lainen,0.347258,0.009871,0.028426
osakeyhtiö,0.357762,0.039487,0.110373
mikkelin,0.373972,0.022884,0.061192
roat,0.378430,0.008233,0.021756
kirkkoherran,0.378519,0.009883,0.026109
välittää,0.387324,0.014100,0.036405
käkisalmen,0.388607,0.007908,0.020349
maanwilj,0.395681,0.007896,0.019956
kemissä,0.404201,0.009011,0.022294
päivältä,0.405125,0.008279,0.020437
tuomiokunnan,0.410696,0.007687,0.018717
seminaarin,0.415496,0.008163,0.019647
kirkkoherra,0.415828,0.016842,0.040503
junat,0.418911,0.015669,0.037404
päät,0.420262,0.007733,0.018401
osakepääoma,0.421484,0.007873,0.018679
snellmanin,0.422095,0.008384,0.019863
lehtori,0.427448,0.015553,0.036385
aksel,0.428595,0.010557,0.024631
sato,0.428714,0.007617,0.017768
ernst,0.431455,0.010150,0.023525
säästöpankin,0.432407,0.008279,0.019147
seuran,0.435117,0.067523,0.155183
oulu,0.437832,0.016157,0.036902
venäjältä,0.438905,0.009592,0.021855
eläinlääkäri,0.439242,0.008140,0.018532
kielen,0.440727,0.009197,0.020869
hämeenlinnassa,0.442351,0.010475,0.023681
estettä,0.445446,0.008117,0.018222
axel,0.450409,0.016715,0.037110
virastoissa,0.452070,0.007989,0.017672
yliopp,0.454771,0.008303,0.018257
awoinna,0.457818,0.016494,0.036027
jumalan,0.460912,0.056067,0.121643
suorittamiseksi,0.460920,0.007466,0.016198
john,0.460963,0.023337,0.050627
irtainta,0.465833,0.010998,0.023610
sanomain,0.468887,0.014310,0.030518
werner,0.469285,0.014298,0.030467
loin,0.472680,0.010801,0.022850
rakas,0.473027,0.011428,0.024160
lappeenrannassa,0.473541,0.007745,0.016356
kauppoja,0.474420,0.007524,0.015860
pietari,0.475734,0.025893,0.054428
huokealla,0.477436,0.008919,0.018680
seurahuoneella,0.479180,0.009604,0.020043
ulkomailta,0.480767,0.010952,0.022780
taloll,0.489110,0.017412,0.035599
kiinan,0.489948,0.013833,0.028234
antavat,0.490530,0.008384,0.017092
lontoosta,0.491866,0.013578,0.027604
tilalla,0.491942,0.025986,0.052824
kaikenlaatuisia,0.492146,0.007884,0.016021
rehtori,0.494555,0.009639,0.019490
keisarillinen,0.496174,0.015227,0.030690
hakeneet,0.500325,0.008326,0.016641
lyseon,0.500932,0.010952,0.021863
arthur,0.502355,0.008442,0.016805
talollisen,0.502437,0.017842,0.035510
heiniä,0.502759,0.010870,0.021622
lainoja,0.503373,0.017203,0.034175
korko,0.506769,0.017214,0.033969
snellman,0.507499,0.019654,0.038727
koulussa,0.508000,0.014182,0.027917
port,0.512284,0.024058,0.046961
korkoa,0.512284,0.019375,0.037821
georg,0.513952,0.008175,0.015906
alalta,0.513998,0.013659,0.026574
kultaseppä,0.514231,0.009290,0.018066
opettajatar,0.514395,0.012613,0.024521
tulevan,0.517603,0.025429,0.049128
vaasa,0.518963,0.011649,0.022446
lähempiä,0.519306,0.039557,0.076172
suomennos,0.519958,0.007908,0.015208
piirilääkäri,0.520004,0.008640,0.016615
konsuli,0.521111,0.008756,0.016802
tornion,0.523184,0.013287,0.025397
vuokrattavana,0.524674,0.010348,0.019722
omistama,0.525287,0.011661,0.022198
raahen,0.525481,0.011242,0.021394
arkkitehti,0.525707,0.009499,0.018070
kajaanista,0.526037,0.008012,0.015231
maanantai,0.527069,0.019538,0.037069
kihlakunnan,0.527705,0.017551,0.033259
eläinten,0.528090,0.010011,0.018956
torstai,0.528567,0.020130,0.038085
pastori,0.529723,0.058878,0.111150
matkoilla,0.530122,0.011300,0.021316
lauloi,0.530980,0.008279,0.015593
huutokaupalla,0.531090,0.037384,0.070391
kaarle,0.531104,0.012985,0.024449
buurit,0.532204,0.007768,0.014596
säätyjen,0.532568,0.013241,0.024862
julistetaan,0.537213,0.021978,0.040911
opetuksen,0.538206,0.009592,0.017823
vainaja,0.538956,0.007733,0.014349
kirjasto,0.539043,0.014205,0.026352
tukholmaan,0.540966,0.007908,0.014618
asessori,0.540990,0.012578,0.023251
nasta,0.542246,0.009314,0.017176
suomalaisen,0.542825,0.069347,0.127752
lehmiä,0.543055,0.007954,0.014647
pait,0.543432,0.007513,0.013824
perjantai,0.543453,0.019317,0.035545
varat,0.545568,0.012857,0.023567
rahaksi,0.545788,0.008303,0.015212
toimitukselle,0.546193,0.007408,0.013563
kauppias,0.546561,0.079711,0.145840
lähtöä,0.547255,0.019120,0.034937
teen,0.547326,0.030366,0.055481
hämeenlinnan,0.547736,0.015471,0.028246
lämpö,0.548499,0.009360,0.017065
rauman,0.548528,0.019584,0.035704
mista,0.551911,0.017632,0.031948
pitäjää,0.552413,0.009987,0.018080
koulun,0.553274,0.048968,0.088506
raamatun,0.553416,0.011021,0.019915
lahti,0.555906,0.021327,0.038365
helsinki,0.556040,0.103331,0.185834
prinssi,0.556533,0.008094,0.014543
seurakunnan,0.556905,0.026625,0.047809
lehmää,0.557594,0.011916,0.021371
maila,0.557880,0.009325,0.016715
seuralle,0.558614,0.007838,0.014031
johannes,0.560559,0.016192,0.028885
kävi,0.560591,0.007815,0.013940
pankin,0.562017,0.032574,0.057959
maist,0.563309,0.017493,0.031054
keittiö,0.563411,0.022594,0.040101
joensuun,0.564318,0.013589,0.024081
laista,0.564517,0.012846,0.022755
palt,0.564554,0.007582,0.013431
puut,0.565236,0.015425,0.027289
rouva,0.566078,0.026869,0.047466
peltoa,0.566221,0.008709,0.015382
holmberg,0.567577,0.008396,0.014792
laupp,0.567857,0.007640,0.013455
amiraali,0.567934,0.009197,0.016194
pohjoiseen,0.568251,0.016354,0.028780
söderström,0.569800,0.011428,0.020056
iltapäivällä,0.571259,0.008698,0.015226
seuraavana,0.572862,0.008849,0.015447
sjöblom,0.574074,0.009116,0.015880
puun,0.575388,0.008221,0.014288
korkoja,0.576389,0.008314,0.014425
raatihuoneella,0.578470,0.016657,0.028794
sairaita,0.578521,0.020049,0.034656
nimittänyt,0.579669,0.009488,0.016368
haminaan,0.580452,0.009163,0.015785
nuorisoseura,0.581856,0.015832,0.027209
maanantaisin,0.583334,0.010719,0.018376
allekirjoittaneen,0.583376,0.013833,0.023712
vaasassa,0.584425,0.013008,0.022258
opettajain,0.584645,0.012776,0.021852
pitäjään,0.585409,0.007733,0.013210
kartanossa,0.585740,0.008442,0.014413
opettajan,0.586376,0.020560,0.035063
oppilaat,0.586543,0.022605,0.038540
allekirjoittaneelle,0.586871,0.014763,0.025155
tilanomistaja,0.587230,0.008082,0.013763
taidetta,0.587504,0.009953,0.016940
maisteri,0.587726,0.041555,0.070705
jatkoa,0.588193,0.007571,0.012871
aleks,0.589014,0.013368,0.022696
toht,0.589830,0.025731,0.043624
wilhelm,0.590195,0.020979,0.035545
vastaanotto,0.590527,0.009476,0.016047
kunnioituksella,0.590901,0.011591,0.019615
ensimmäinen,0.591291,0.016970,0.028700
ilmoituksia,0.592863,0.060714,0.102408
keskiviikko,0.593157,0.016482,0.027787
kansallisen,0.593864,0.008884,0.014959
varoista,0.594335,0.008709,0.014654
kirjeellisesti,0.595901,0.008361,0.014031
wiipuri,0.596241,0.011812,0.019810
papisto,0.596310,0.008001,0.013417
fello,0.596596,0.008884,0.014891
auran,0.597679,0.009395,0.015719
maaseuduille,0.597908,0.007652,0.012798
ensimmäisen,0.599790,0.008326,0.013881
seura,0.600265,0.040916,0.068163
englantilaisia,0.600314,0.009953,0.016579
yhteiskoulun,0.601533,0.007652,0.012721
post,0.602132,0.007919,0.013152
forssaan,0.602569,0.007629,0.012661
säädyt,0.603256,0.010801,0.017904
stenberg,0.603499,0.007443,0.012333
hrat,0.603542,0.030297,0.050198
palvelukseen,0.603785,0.013031,0.021583
toimeenpannaan,0.604824,0.007722,0.012767
toiminimen,0.605634,0.007710,0.012731
puuta,0.605656,0.007489,0.012366
tori,0.606033,0.013264,0.021886
kenraali,0.606224,0.035978,0.059348
lahdessa,0.607128,0.019038,0.031358
ulkomaalla,0.607308,0.007559,0.012447
lindberg,0.610063,0.013973,0.022904
viipuri,0.610915,0.027392,0.044838
rakkauden,0.612987,0.010836,0.017677
vastaanottaa,0.614033,0.023570,0.038385
kantta,0.614423,0.015727,0.025596
esimies,0.614718,0.028310,0.046054
professori,0.615194,0.030378,0.049380
koulujen,0.615326,0.013020,0.021159
kieli,0.615328,0.009441,0.015344
pyydettäessä,0.615717,0.010615,0.017240
kovin,0.615934,0.008372,0.013593
kirjallisesti,0.616494,0.012590,0.020422
linjalla,0.616529,0.008117,0.013165
juhana,0.616790,0.009139,0.014817
lämmin,0.617500,0.009488,0.015365
lirj,0.617717,0.009546,0.015454
päivänä,0.618612,0.154465,0.249695
halutaan,0.619903,0.043786,0.070634
varsinaiseen,0.620016,0.009011,0.014534
lappalainen,0.620071,0.008152,0.013146
hämeen,0.620454,0.032179,0.051864
perunoita,0.620542,0.007629,0.012294
piispa,0.620772,0.010905,0.017567
lello,0.621286,0.029762,0.047904
aura,0.621417,0.013729,0.022092
maaseudulle,0.621861,0.018876,0.030354
jumala,0.622142,0.042043,0.067578
laulun,0.622737,0.014530,0.023333
tahtovat,0.623676,0.015076,0.024173
kirkonkylässä,0.623738,0.012462,0.019980
opiston,0.624214,0.016645,0.026665
taiteilija,0.625813,0.011451,0.018298
asetuksessa,0.626041,0.008721,0.013930
opettajat,0.626124,0.016808,0.026844
pohjola,0.626282,0.012869,0.020548
yliopistossa,0.626861,0.008291,0.013226
opettajia,0.627573,0.007792,0.012415
postissa,0.627774,0.015471,0.024645
olevan,0.628385,0.045471,0.072361
päättämään,0.629169,0.023604,0.037517
amoinna,0.629181,0.011324,0.017997
vaikea,0.629688,0.007455,0.011839
